0,1,2,3,4,5,6,7,8
18,Hindware Home Innovation Ltd.,1.33,1.33,2.66,1.33,-,0,ashish-kacholia
19,Kwality Pharmaceuticals Ltd.,1.95,1.90,-,-,-,0,ashish-kacholia
20,Sastasundar Ventures Ltd.,1.88,1.88,1.88,1.88,1.88,14.34,ashish-kacholia
21,TARC Ltd.,1.50,1.50,1.86,2.22,2.22,32.79,ashish-kacholia
22,VRL Logistics Ltd.,1.37,1.37,-,-,-,0,ashish-kacholia
23,Xpro India Ltd.,3.57,3.89,4.40,4.45,4.33,62.01,ashish-kacholia
24,AMI Organics Ltd.,2.13,2.13,2.13,2.13,2.13,82.76,ashish-kacholia
25,Bharat Bijlee Ltd.,1.79,1.79,1.79,1.79,1.79,27.83,ashish-kacholia
26,Genesys International Corporation Ltd.,1.95,1.97,1.68,1.68,1.64,18.19,ashish-kacholia
27,Igarashi Motors India Ltd.,1.27,-,-,-,-,0,ashish-kacholia
28,La Opala RG Ltd.,1.05,1.42,1.59,1.59,1.59,67.73,ashish-kacholia
29,SJS Enterprises Ltd.,3.77,3.77,3.84,4.43,4.43,,ashish-kacholia
30,United Drilling Tools Ltd.,2.63,2.81,2.81,2.81,2.81,13.28,ashish-kacholia
31,Yasho Industries Ltd.,2.55,2.60,2.60,3.82,3.99,68.68,ashish-kacholia
32,Fineotex Chemical Ltd.,1.84,1.93,2.64,2.64,2.82,74.74,ashish-kacholia
33,Gravita India Ltd.,1.35,1.81,1.96,2.08,2.15,75.46,ashish-kacholia
34,Stove Kraft Ltd.,1.76,1.76,1.76,1.76,1.75,23.97,ashish-kacholia
35,Barbeque-Nation Hospitality Ltd.,-,1.05,1.43,1.43,1.43,33.76,ashish-kacholia
36,Creative Newtech Ltd.,-,2.83,-,2.70,2.70,12.84,ashish-kacholia
37,Inflame Appliances Ltd.,-,4.21,4.21,-,4.20,14.01,ashish-kacholia
38,Repro India Ltd.,-,3.60,3.60,3.60,3.62,18.55,ashish-kacholia
39,Agarwal Industrial Corporation Ltd.,-,-,2.57,3.82,3.82,35.67,ashish-kacholia
40,Arvind Fashions Ltd.,-,-,1.10,1.10,1.10,41.22,ashish-kacholia
41,Best Agrolife Ltd.,-,-,1.46,2.25,2.25,53.19,ashish-kacholia
42,D-Link (India) Ltd.,-,-,3.34,2.11,2.11,20.47,ashish-kacholia
43,DU Digital Global Ltd.,-,-,4.97,-,4.96,,ashish-kacholia
44,Megastar Foods Ltd.,-,-,1.04,1.13,1.13,2.61,ashish-kacholia
45,Shankara Building Products Ltd.,-,-,1.97,1.97,1.97,28.48,ashish-kacholia
46,Goldiam International Ltd.,-,-,-,1.01,1.01,16.30,ashish-kacholia
47,Knowledge Marine & Engineering Works Ltd.,-,-,-,2.31,2.50,29.76,ashish-kacholia
48,Likhitha Infrastructure Ltd.,-,-,-,2.01,2.01,22.64,ashish-kacholia
49,Raghav Productivity Enhancers Ltd.,-,-,-,2.13,2.02,20.62,ashish-kacholia
50,Aditya Vision Ltd.,-,-,-,-,1.11,19.17,ashish-kacholia
51,Virtuoso Optoelectronics Ltd.,-,-,-,-,5.38,,ashish-kacholia
1,Almondz Global Securities Ltd.,4.52,4.52,4.52,4.52,4.52,7.98,dilipkumar-lakhi
2,Aro Granite Industries Ltd.,6.01,12.02,6.01,6.01,5.91,3.86,dilipkumar-lakhi
3,Avonmore Capital & Management Services Ltd.,2.21,2.21,1.92,1.92,1.92,2.94,dilipkumar-lakhi
4,Diligent Media Corporation Ltd.,2.30,2.30,2.30,2.00,2.00,0.60,dilipkumar-lakhi
5,GOCL Corporation Ltd.,1.73,1.72,1.72,1.72,1.66,26.54,dilipkumar-lakhi
6,Hindustan Fluorocarbons Ltd.,-,-,1.85,-,-,0,dilipkumar-lakhi
7,NXTDigital Ltd.,4.09,4.09,4.09,4.09,4.25,16.19,dilipkumar-lakhi
8,Premier Explosives Ltd.,10.09,10.24,10.24,10.24,10.24,46.11,dilipkumar-lakhi
9,Religare Enterprises Ltd.,5.99,5.98,5.98,5.60,5.60,288.28,dilipkumar-lakhi
10,TRF Ltd.,1.71,1.65,1.65,1.65,1.65,3.03,dilipkumar-lakhi
11,Unitech Ltd.,4.53,4.53,4.53,4.53,4.53,16.00,dilipkumar-lakhi
12,Welspun Enterprises Ltd.,7.08,2.22,7.07,6.74,6.57,140.26,dilipkumar-lakhi
13,Welspun Specialty Solutions Ltd.,23.04,23.04,23.04,23.04,23.04,241.94,dilipkumar-lakhi
14,Saboo Sodium Chloro Ltd.,-,-,1.37,1.37,1.37,1.05,dilipkumar-lakhi
1,Aries Agro Ltd.,1.34,1.25,1.10,-,-,0,dolly-khanna
2,Butterfly Gandhimathi Appliances Ltd.,1.79,-,-,-,-,0,dolly-khanna
3,Deepak Spinners Ltd.,1.42,1.17,1.21,1.16,1.16,2.04,dolly-khanna
4,KCP Ltd.,3.70,3.39,3.04,2.43,2.25,30.69,dolly-khanna
5,Mangalore Chemicals & Fertilizers Ltd.,1.66,1.46,1.37,1.24,1.20,12.82,dolly-khanna
6,NCL Industries Ltd.,1.60,1.53,1.31,1.70,-,0,dolly-khanna
7,Nitin Spinners Ltd.,1.77,1.54,1.52,1.39,1.33,18.40,dolly-khanna
8,Polyplex Corporation Ltd.,1.30,1.25,1.17,-,-,0,dolly-khanna
9,Rain Industries Ltd.,1.02,-,-,-,-,0,dolly-khanna
10,Rama Phosphates Ltd.,2.56,2.23,1.72,1.54,-,0,dolly-khanna
11,RSWM Ltd.,1.30,1.06,-,-,-,0,dolly-khanna
12,Talbros Automotive Components Ltd.,1.13,1.10,1.22,1.18,1.03,6.20,dolly-khanna
13,New Delhi Television Ltd.,1.29,1.00,-,-,-,0,dolly-khanna
14,Ajanta Soya Ltd.,1.46,1.53,1.54,1.48,1.32,3.31,dolly-khanna
15,Control Print Ltd.,1.06,1.03,1.03,1.02,1.04,9.79,dolly-khanna
16,Indo Tech Transformers Ltd.,1.15,-,-,-,-,0,dolly-khanna
17,Monte Carlo Fashions Ltd.,-,1.78,2.49,2.54,2.11,30.89,dolly-khanna
18,Prakash Pipes Ltd.,2.39,2.71,2.78,2.83,2.71,10.04,dolly-khanna
19,Simran Farms Ltd.,2.03,2.02,2.17,2.17,2.04,0.84,dolly-khanna
20,Tinna Rubber And Infrastructure Ltd.,1.60,1.83,1.67,1.62,1.41,5.23,dolly-khanna
21,Goa Carbon Ltd.,1.38,1.08,-,-,-,0,dolly-khanna
22,Khaitan Chemicals & Fertilizers Ltd.,1.02,-,-,-,-,0,dolly-khanna
23,Nahar Spinning Mills Ltd.,1.06,-,-,-,-,0,dolly-khanna
24,Sandur Manganese & Iron Ores Ltd.,1.53,-,-,-,-,0,dolly-khanna
