0,1,2,3,4,5,6,7,8
20,General Insurance Corporation of India,85.78,85.78,85.78,85.78,85.78,"23,100.59",president-of-india
21,Hemisphere Properties India Ltd.,51.12,51.12,51.12,51.12,51.12,"1,360.03",president-of-india
22,Hindustan Aeronautics Ltd.,75.15,75.15,75.15,75.15,71.65,"69,964.68",president-of-india
23,Hindustan Copper Ltd.,66.14,66.14,66.14,66.14,66.14,"6,485.44",president-of-india
24,Hindustan Organic Chemicals Ltd.,58.78,58.78,58.78,58.78,58.78,104.91,president-of-india
25,Hindustan Zinc Ltd.,29.54,29.54,-,-,-,0,president-of-india
26,HMT Ltd.,93.68,93.68,93.68,93.68,93.68,"2,865.10",president-of-india
27,Housing & Urban Development Corporation Ltd.,81.81,81.81,81.81,81.81,81.81,"8,049.56",president-of-india
28,IDBI Bank Ltd.,45.48,45.48,45.48,45.48,45.48,"26,724.90",president-of-india
29,IDFC First Bank Ltd.,4.20,4.20,4.20,4.19,3.95,"1,606.65",president-of-india
30,IDFC Ltd.,16.37,16.37,16.37,16.35,16.34,"2,295.42",president-of-india
31,IFCI Ltd.,64.86,64.86,64.86,66.35,66.35,"1,874.86",president-of-india
32,India Tourism Development Corporation Ltd.,87.03,87.03,87.03,87.03,87.03,"2,312.13",president-of-india
33,Indian Bank,79.86,79.86,79.86,79.86,79.86,"32,066.20",president-of-india
34,Indian Oil Corporation Ltd.,51.50,51.50,51.50,51.50,51.50,"59,197.64",president-of-india
35,Indian Overseas Bank,96.38,96.38,96.38,96.38,96.38,"47,002.81",president-of-india
36,Indian Railway Catering And Tourism Corporation Ltd.,67.40,67.40,67.40,62.40,62.40,"30,840.58",president-of-india
37,Indian Railway Finance Corporation Ltd.,86.36,86.36,86.36,86.36,86.36,"35,832.93",president-of-india
38,Indraprastha Medical Corporation Ltd.,26.00,26.00,26.00,26.00,26.00,200.57,president-of-india
39,Ircon International Ltd.,73.18,73.18,-,-,-,0,president-of-india
40,ITI Ltd.,89.97,90.06,90.14,90.14,90.14,"8,144.35",president-of-india
41,KIOCL Ltd.,99.03,99.03,99.03,99.03,99.03,"11,739.20",president-of-india
42,Mahanagar Telephone Nigam Ltd.,56.89,56.89,56.89,56.82,56.82,705.19,president-of-india
43,Mazagon Dock Shipbuilders Ltd.,84.83,84.83,84.83,84.83,84.83,"12,905.59",president-of-india
44,Mishra Dhatu Nigam Ltd.,74.00,74.00,74.00,74.00,74.00,"2,830.86",president-of-india
45,MMTC Ltd.,89.93,89.93,89.93,89.93,89.93,"3,810.78",president-of-india
46,MOIL Ltd.,53.35,53.35,53.35,53.35,53.35,"1,701.13",president-of-india
47,MSTC Ltd.,64.74,64.74,64.74,64.74,64.74,"1,379.39",president-of-india
48,National Fertilizers Ltd.,74.71,74.71,74.71,74.71,74.71,"2,889.94",president-of-india
49,NBCC (India) Ltd.,61.75,61.75,61.75,61.75,61.75,"4,368.20",president-of-india
50,NHPC Ltd.,70.95,70.95,70.95,70.95,70.95,"31,536.76",president-of-india
51,NLC India Ltd.,79.20,79.20,79.20,79.20,79.20,"8,944.97",president-of-india
52,NMDC Ltd.,60.79,60.79,60.79,60.79,60.79,"19,329.44",president-of-india
53,NTPC Ltd.,51.10,51.10,51.10,51.10,51.10,"85,225.94",president-of-india
54,Oil & Natural Gas Corporation Ltd.,58.91,58.89,58.89,58.89,58.89,"1,17,758.53",president-of-india
55,Oil India Ltd.,56.66,56.66,56.66,56.66,56.66,"15,658.60",president-of-india
56,Power Finance Corporation Ltd.,55.99,55.99,55.99,55.99,55.99,"25,114.31",president-of-india
57,Power Grid Corporation Of India Ltd.,51.34,51.34,51.34,51.34,51.34,"84,963.91",president-of-india
58,Punjab & Sind Bank,98.25,98.25,98.25,98.25,98.25,"23,973.03",president-of-india
59,Punjab National Bank,-,-,73.15,-,73.15,"42,085.06",president-of-india
60,Rail Vikas Nigam Ltd.,78.20,78.20,78.20,78.20,78.20,"17,535.87",president-of-india
61,Railtel Corporation Of India Ltd.,72.84,72.84,72.84,72.84,72.84,"2,682.53",president-of-india
62,Rashtriya Chemicals and Fertilizers Ltd.,75.00,75.00,75.00,75.00,75.00,"4,510.05",president-of-india
63,Rites Ltd.,72.20,72.20,72.20,72.20,72.20,"6,683.14",president-of-india
64,Scooters India Ltd.,93.87,93.87,93.87,93.87,93.87,240.93,president-of-india
65,Shipping Corporation Of India Ltd.,63.75,63.75,-,-,63.75,"2,708.16",president-of-india
66,SJVN Ltd.,59.92,59.92,59.92,59.92,59.92,"8,371.08",president-of-india
67,Steel Authority Of India Ltd.,65.00,65.00,65.00,65.00,65.00,"22,230.49",president-of-india
68,UCO Bank,95.39,95.39,95.39,95.39,95.39,"34,328.41",president-of-india
69,Union Bank Of India,83.49,83.49,83.49,83.49,83.49,"43,282.52",president-of-india
70,National Aluminium Company Ltd.,51.28,51.28,51.28,51.28,51.28,"7,807.73",president-of-india
71,State Bank Of India,57.59,57.57,57.52,57.50,57.49,"2,96,711.81",president-of-india
72,Life Insurance Corporation of India,-,-,96.50,96.50,96.50,"3,35,638.22",president-of-india
73,NMDC Steel Ltd.,-,-,-,60.79,60.79,,president-of-india
74,Madras Fertilizers Ltd.,-,-,-,-,59.50,697.35,president-of-india
1,3M India Ltd.,1.48,1.48,-,1.48,1.48,375.93,radhakishan-damani
2,Advani Hotels & Resorts (India) Ltd.,4.18,4.18,4.18,4.18,4.18,16.05,radhakishan-damani
3,Andhra Paper Ltd.,1.26,1.26,1.26,1.26,1.26,22.72,radhakishan-damani
4,Aptech Ltd.,3.04,3.03,3.03,3.03,3.03,53.44,radhakishan-damani
5,Astra Microwave Products Ltd.,1.03,1.03,1.03,1.03,1.03,27.48,radhakishan-damani
6,Avenue Supermarts Ltd.,74.98,67.53,67.53,67.53,67.51,"1,53,879.35",radhakishan-damani
7,BF Utilities Ltd.,1.28,1.28,1.28,1.01,1.01,12.83,radhakishan-damani
8,Blue Dart Express Ltd.,1.40,1.40,1.40,1.29,1.29,181.85,radhakishan-damani
9,Mangalam Organics Ltd.,2.17,2.17,2.17,2.17,2.17,8.81,radhakishan-damani
10,Metropolis Healthcare Ltd.,1.14,1.05,1.07,-,-,0,radhakishan-damani
11,Sundaram Finance Holdings Ltd.,1.88,1.88,1.88,1.88,1.88,35.45,radhakishan-damani
12,Sundaram Finance Ltd.,2.37,2.37,2.37,2.37,2.37,620.20,radhakishan-damani
13,The India Cements Ltd.,20.82,20.79,20.79,20.79,20.78,"1,194.88",radhakishan-damani
14,Trent Ltd.,1.52,1.52,1.52,1.52,1.52,739.05,radhakishan-damani
15,United Breweries Ltd.,1.21,1.23,1.21,1.21,1.19,465.51,radhakishan-damani
16,VST Industries Ltd.,32.34,32.34,32.34,30.71,30.71,"1,556.56",radhakishan-damani
1,Agro Tech Foods Ltd.,8.22,8.22,8.22,8.22,8.22,160.27,rakesh-jhunjhunwala
2,Anant Raj Ltd.,3.39,3.39,3.09,-,-,0,rakesh-jhunjhunwala
3,Aptech Ltd.,43.80,43.78,43.78,43.76,43.74,771.43,rakesh-jhunjhunwala
4,Autoline Industries Ltd.,4.62,4.50,4.61,4.31,3.96,11.54,rakesh-jhunjhunwala
5,Bilcare Ltd.,8.48,8.48,-,7.37,-,0,rakesh-jhunjhunwala
6,CRISIL Ltd.,5.48,5.48,5.47,5.47,5.47,"1,439.09",rakesh-jhunjhunwala
7,DB Realty Ltd.,2.06,1.93,1.46,1.46,1.42,44.03,rakesh-jhunjhunwala
8,Delta Corp Ltd.,7.48,-,-,-,-,0,rakesh-jhunjhunwala
9,Dishman Carbogen Amcis Ltd.,3.18,3.18,3.18,1.63,-,0,rakesh-jhunjhunwala
10,Edelweiss Financial Services Ltd.,1.60,1.60,1.50,1.52,1.33,82.55,rakesh-jhunjhunwala
11,Escorts Kubota Ltd.,-,1.39,1.39,1.39,1.39,363.34,rakesh-jhunjhunwala
12,Fortis Healthcare Ltd.,4.23,4.23,4.66,4.46,4.46,878.14,rakesh-jhunjhunwala
13,Geojit Financial Services Ltd.,7.55,7.54,7.54,8.38,8.38,89.96,rakesh-jhunjhunwala
14,Indiabulls Housing Finance Ltd.,1.28,1.17,-,-,-,0,rakesh-jhunjhunwala
15,Jubilant Ingrevia Ltd.,4.72,4.72,3.15,3.15,3.15,211.46,rakesh-jhunjhunwala
16,Jubilant Pharmova Ltd.,6.76,6.76,6.76,6.76,6.76,335.67,rakesh-jhunjhunwala
17,Karur Vysya Bank Ltd.,4.50,4.50,4.37,4.74,4.74,371.85,rakesh-jhunjhunwala
18,Man InfraConstruction Ltd.,1.21,1.21,1.21,-,-,0,rakesh-jhunjhunwala
19,Nazara Technologies Ltd.,10.10,10.03,10.02,10.00,9.96,363.62,rakesh-jhunjhunwala
20,NCC Ltd.,12.84,12.62,12.64,13.09,13.09,984.58,rakesh-jhunjhunwala
21,Orient Cement Ltd.,1.22,1.22,1.22,-,-,0,rakesh-jhunjhunwala
22,Prakash Pipes Ltd.,-,-,-,-,-,0,rakesh-jhunjhunwala
23,Prozone Intu Properties Ltd.,2.06,2.06,2.06,2.06,2.06,7.70,rakesh-jhunjhunwala
24,Rallis India Ltd.,9.81,9.81,9.36,10.30,10.30,379.47,rakesh-jhunjhunwala
25,TARC Ltd.,-,-,-,-,-,0,rakesh-jhunjhunwala
26,Tata Communications Ltd.,1.08,1.08,1.61,1.79,1.79,647.64,rakesh-jhunjhunwala
27,Tata Motors Ltd.,1.18,1.09,1.11,1.57,1.57,"2,528.84",rakesh-jhunjhunwala
28,Tata Motors Ltd. - DVR Ordinary,2.95,2.95,1.40,1.97,1.97,0,rakesh-jhunjhunwala
29,The Federal Bank Ltd.,3.65,3.64,-,3.48,3.48,994.01,rakesh-jhunjhunwala
30,The Indian Hotels Company Ltd.,2.12,2.12,2.12,2.11,2.11,"1,016.30",rakesh-jhunjhunwala
31,Titan Company Ltd.,5.05,5.05,5.54,5.17,5.29,"12,407.15",rakesh-jhunjhunwala
32,TV18 Broadcast Ltd.,1.17,-,-,-,-,0,rakesh-jhunjhunwala
33,VA Tech Wabag Ltd.,8.04,8.04,8.04,8.04,8.04,195.15,rakesh-jhunjhunwala
34,Wockhardt Ltd.,2.08,2.08,2.08,2.08,2.08,50.66,rakesh-jhunjhunwala
35,Canara Bank,1.96,1.96,1.48,2.07,2.07,"1,192.10",rakesh-jhunjhunwala
36,Indiabulls Real Estate Ltd.,1.10,-,-,-,-,0,rakesh-jhunjhunwala
37,National Aluminium Company Ltd.,1.36,-,-,-,-,0,rakesh-jhunjhunwala
38,Metro Brands Ltd.,14.43,14.43,14.43,14.40,14.40,,rakesh-jhunjhunwala
39,Star Health and Allied Insurance Company Ltd.,35.02,17.49,17.42,17.32,17.32,,rakesh-jhunjhunwala
40,Singer India Ltd.,-,-,7.91,7.91,6.95,33.08,rakesh-jhunjhunwala
41,Raghav Productivity Enhancers Ltd.,-,-,-,-,5.23,53.39,rakesh-jhunjhunwala
42,Sun Pharma Advanced Research Company Ltd.,-,-,-,-,1.94,122.58,rakesh-jhunjhunwala
1,CSB Bank Ltd.,1.02,1.02,-,1.02,1.02,49.46,satpal-khattar
2,DCM Ltd.,1.07,1.07,1.07,1.07,1.07,1.27,satpal-khattar
3,Gayatri Highways Ltd.,2.16,2.16,2.16,2.16,2.16,0.36,satpal-khattar
4,Gayatri Projects Ltd.,3.84,3.84,3.84,3.84,3.84,4.24,satpal-khattar
5,IIFL Finance Ltd.,1.34,1.34,1.34,1.34,1.27,231.79,satpal-khattar
6,Intense Technologies Ltd.,1.39,-,-,1.39,1.39,2.09,satpal-khattar
7,Nath Bio-Genes (India) Ltd.,2.10,2.10,2.10,-,2.10,6.59,satpal-khattar
8,R.P.P. Infra Projects Ltd.,2.11,2.11,2.11,2.11,2.11,3.37,satpal-khattar
9,Sangam (India) Ltd.,2.22,2.22,2.14,2.10,2.10,25.72,satpal-khattar
10,Strides Pharma Science Ltd.,1.74,1.74,1.73,1.73,1.73,53.19,satpal-khattar
11,Suyog Telematics Ltd.,4.72,-,-,-,-,0,satpal-khattar
1,7Seas Entertainment Ltd.,1.52,1.52,1.52,1.52,1.52,0.49,vallabh-roopchand-bhanshali
2,CSB Bank Ltd.,1.26,1.26,1.26,1.26,1.26,61.10,vallabh-roopchand-bhanshali
3,Genus Power Infrastructures Ltd.,1.16,-,-,-,-,0,vallabh-roopchand-bhanshali
4,GFL Ltd.,1.26,1.26,1.26,1.26,1.26,7.31,vallabh-roopchand-bhanshali
5,Greenlam Industries Ltd.,1.22,1.22,1.16,1.16,1.16,42.75,vallabh-roopchand-bhanshali
6,Inox Wind Energy Ltd.,-,-,-,-,-,0,vallabh-roopchand-bhanshali
7,Zodiac Clothing Company Ltd.,2.68,2.68,2.68,2.68,-,0,vallabh-roopchand-bhanshali
8,Vascon Engineers Ltd.,-,1.09,1.09,-,1.09,7.52,vallabh-roopchand-bhanshali
9,PDS Ltd.,-,-,-,1.76,1.76,82.69,vallabh-roopchand-bhanshali
1,Atul Auto Ltd.,1.47,1.47,1.47,1.47,8.40,76.68,vijay-kedia
2,Cera Sanitaryware Ltd.,1.00,1.02,1.02,-,-,0,vijay-kedia
3,Elecon Engineering Company Ltd.,1.19,1.85,1.94,1.94,1.94,94.50,vijay-kedia
4,Heritage Foods Ltd.,1.13,1.13,1.13,1.13,1.20,18.84,vijay-kedia
5,Lykis Ltd.,9.33,9.33,2.71,-,-,0,vijay-kedia
6,Mahindra Holidays & Resorts India Ltd.,1.02,1.02,1.02,1.02,1.02,61.88,vijay-kedia
7,Neuland Laboratories Ltd.,1.01,1.01,1.01,1.01,1.17,32.11,vijay-kedia
8,Panasonic Energy India Company Ltd.,1.24,1.24,1.24,1.24,1.24,2.14,vijay-kedia
9,Ramco Systems Ltd.,2.35,1.95,1.62,1.44,1.14,9.06,vijay-kedia
10,Repro India Ltd.,7.09,7.09,7.09,7.08,7.12,36.48,vijay-kedia
11,Sudarshan Chemical Industries Ltd.,1.44,1.44,1.44,1.44,1.44,41.13,vijay-kedia
12,Tejas Networks Ltd.,3.40,2.57,2.56,2.29,2.02,224.06,vijay-kedia
13,Vaibhav Global Ltd.,1.86,1.95,1.95,1.95,1.95,101.39,vijay-kedia
14,Affordable Robotic & Automation Ltd.,14.15,-,12.25,-,13.37,48.00,vijay-kedia
15,Innovators Facade Systems Ltd.,10.66,10.66,10.66,10.66,10.66,17.08,vijay-kedia
16,Talbros Automotive Components Ltd.,2.27,2.27,2.27,1.31,1.31,7.89,vijay-kedia
17,Siyaram Silk Mills Ltd.,-,-,-,1.07,1.08,24.78,vijay-kedia
18,Patel Engineering Ltd.,-,-,-,-,1.29,20.46,vijay-kedia
19,Precision Camshafts Ltd.,-,-,-,-,1.05,13.84,vijay-kedia
1,52 Weeks Entertainment Ltd.,1.89,1.89,1.89,1.89,1.89,0.11,aarti-singal
2,Blue Chip India Ltd.,1.08,1.08,1.08,1.08,1.08,0.02,aarti-singal
3,Greencrest Financial Services Ltd.,3.04,3.04,3.04,3.04,3.04,0.94,aarti-singal
4,JMJ Fintech Ltd.,2.24,2.24,2.24,2.24,2.24,0.47,aarti-singal
5,Mukta Agriculture Ltd.,4.15,4.15,4.15,4.15,4.15,0.24,aarti-singal
6,Mystic Electronics Ltd.,5.06,5.06,5.06,5.06,5.06,0.22,aarti-singal
7,Premier Capital Services Ltd.,4.86,4.86,4.86,-,4.86,0.73,aarti-singal
8,Rander Corporation Ltd.,-,2.00,2.00,2.00,2.00,0.12,aarti-singal
9,Voltaire Leasing & Finance Ltd.,2.19,2.19,2.19,2.19,2.19,0.13,aarti-singal
10,Superspace Infrastructure Ltd.,4.62,4.62,-,-,Filing Due,,aarti-singal
1,DMCC Speciality Chemicals Ltd.,1.34,1.34,1.34,1.34,1.34,9.66,ajay-upadhyaya
2,Elecon Engineering Company Ltd.,1.78,1.78,1.78,1.78,1.78,86.71,ajay-upadhyaya
3,Genus Power Infrastructures Ltd.,2.17,2.17,2.23,2.33,2.33,54.47,ajay-upadhyaya
4,IG Petrochemicals Ltd.,1.06,1.09,1.09,1.09,1.09,16.16,ajay-upadhyaya
5,Navin Fluorine International Ltd.,1.01,1.01,1.01,1.01,1.01,242.83,ajay-upadhyaya
6,Visaka Industries Ltd.,1.38,1.36,1.16,1.07,-,0,ajay-upadhyaya
7,Dollar Industries Ltd.,1.08,1.08,1.10,-,1.10,21.65,ajay-upadhyaya
8,Emkay Global Financial Services Ltd.,1.01,-,-,-,-,0,ajay-upadhyaya
9,Maral Overseas Ltd.,1.87,-,1.87,1.87,1.87,4.58,ajay-upadhyaya
10,Precision Camshafts Ltd.,-,-,1.90,1.90,1.90,25.05,ajay-upadhyaya
11,Venus Remedies Ltd.,1.31,1.31,1.31,-,-,0,ajay-upadhyaya
12,Onmobile Global Ltd.,1.56,1.57,1.58,1.58,1.72,12.75,ajay-upadhyaya
13,Banswara Syntex Ltd.,1.70,1.75,1.75,1.75,1.75,9.53,ajay-upadhyaya
14,Mangalam Drugs And Organics Ltd.,1.26,1.90,1.90,1.90,1.90,3.45,ajay-upadhyaya
15,Usha Martin Ltd.,1.25,1.25,1.25,1.26,1.26,81.86,ajay-upadhyaya
16,Nahar Poly Films Ltd.,-,1.34,1.34,1.34,1.24,8.36,ajay-upadhyaya
1,AF Enterprises Ltd.,3.10,2.74,-,-,-,0,amit-gupta
2,Decorous Investment & Trading Co Ltd.,4.93,4.93,4.93,4.93,4.93,,amit-gupta
3,Roto Pumps Ltd.,1.18,1.20,1.20,1.21,1.21,11.89,amit-gupta
4,Sturdy Industries Ltd.,0.23,0.23,0.23,-,0.00,0,amit-gupta
5,Universal Auto Foundry Ltd.,10.78,10.78,10.78,7.61,6.37,11.70,amit-gupta
6,Goyal Aluminiums Ltd.,1.61,-,1.61,1.61,1.61,9.87,amit-gupta
7,BJ Duplex Boards Ltd.,-,-,0.06,0.06,0.06,,amit-gupta
1,Greencrest Financial Services Ltd.,3.18,3.18,3.18,3.18,3.18,0.99,aniket-singal
2,JMJ Fintech Ltd.,4.84,4.84,4.84,4.84,4.84,1.03,aniket-singal
3,Mukta Agriculture Ltd.,4.15,4.15,4.15,4.15,4.15,0.24,aniket-singal
4,Nova Iron & Steel Ltd.,12.02,12.02,12.02,12.02,12.02,3.74,aniket-singal
5,Premier Capital Services Ltd.,4.86,4.86,4.86,-,4.86,0.73,aniket-singal
6,Rander Corporation Ltd.,-,3.56,3.56,3.56,3.56,0.22,aniket-singal
7,Voltaire Leasing & Finance Ltd.,2.19,2.19,2.19,2.19,2.19,0.13,aniket-singal
8,Superspace Infrastructure Ltd.,4.62,4.62,-,-,Filing Due,,aniket-singal
1,Ador Fontech Ltd.,1.29,1.29,1.29,1.29,1.29,4.46,anil-kumar-goel
2,Amarjothi Spinning Mills Ltd.,6.77,6.77,6.77,6.77,6.77,8.36,anil-kumar-goel
3,Austin Engineering Company Ltd.,2.30,2.30,2.27,2.19,2.19,1.27,anil-kumar-goel
4,Avadh Sugar & Energy Ltd.,6.84,6.87,6.87,6.87,6.90,69.98,anil-kumar-goel
5,Dalmia Bharat Sugar And Industries Ltd.,6.06,6.09,-,6.09,6.10,182.75,anil-kumar-goel
6,DCM Nouvelle Ltd.,2.06,2.06,2.06,2.06,2.31,7.10,anil-kumar-goel
7,Dhampur Sugar Mills Ltd.,12.74,12.70,12.70,12.70,12.70,205.89,anil-kumar-goel
8,Dhunseri Tea & Industries Ltd.,2.86,2.86,-,2.99,3.05,6.38,anil-kumar-goel
9,Dwarikesh Sugar Industries Ltd.,6.74,6.74,6.74,6.74,6.74,116.25,anil-kumar-goel
10,GK Consultants Ltd.,0.56,0.56,0.56,0.56,0.56,0.02,anil-kumar-goel
11,GRP Ltd.,1.50,1.50,1.50,1.50,1.12,4.67,anil-kumar-goel
12,KG Denim Ltd.,1.91,1.91,1.91,1.91,1.91,1.42,anil-kumar-goel
13,KRBL Ltd.,3.97,3.97,4.00,4.11,4.38,408.54,anil-kumar-goel
14,Magadh Sugar & Energy Ltd.,3.58,3.55,3.55,3.55,3.56,18.84,anil-kumar-goel
15,Majestic Auto Ltd.,1.92,1.92,1.92,1.92,1.92,2.85,anil-kumar-goel
16,Nahar Spinning Mills Ltd.,6.57,6.60,6.60,6.60,6.71,69.16,anil-kumar-goel
17,Omaxe Ltd.,0.01,0.01,0.01,0.01,0.01,0.10,anil-kumar-goel
18,Panama Petrochem Ltd.,1.56,1.56,1.52,1.52,1.50,26.68,anil-kumar-goel
19,Precot Ltd.,3.75,3.77,3.77,1.50,5.27,11.38,anil-kumar-goel
20,Salasar Techno Engineering Ltd.,2.80,2.45,1.59,-,-,0,anil-kumar-goel
21,Sanghvi Movers Ltd.,1.05,1.05,1.05,1.05,1.05,17.58,anil-kumar-goel
22,Sarla Performance Fibers Ltd.,3.33,3.33,3.33,3.33,3.33,10.75,anil-kumar-goel
23,South India Paper Mills Ltd.,11.35,11.35,11.35,11.35,9.07,20.25,anil-kumar-goel
24,Sri Lakshmi Saraswathi Textiles (Arni) Ltd.,5.52,5.52,5.52,5.52,5.52,0.60,anil-kumar-goel
25,Star Paper Mills Ltd.,1.59,1.59,1.59,1.59,1.59,4.19,anil-kumar-goel
26,Sterling Tools Ltd.,1.39,1.39,-,-,-,0,anil-kumar-goel
27,TCPL Packaging Ltd.,10.48,10.50,10.48,10.17,10.37,142.65,anil-kumar-goel
28,Triveni Engineering & Industries Ltd.,2.69,2.69,2.69,3.52,3.49,218.99,anil-kumar-goel
29,Uttam Sugar Mills Ltd.,7.05,7.07,7.09,7.10,7.17,75.96,anil-kumar-goel
30,Vardhman Holdings Ltd.,6.89,6.89,6.89,6.89,6.89,58.59,anil-kumar-goel
31,Vardhman Special Steels Ltd.,2.22,2.22,2.22,2.22,2.24,33.38,anil-kumar-goel
32,Indsil Hydro Power and Manganese Ltd.,2.34,2.46,2.46,2.46,-,0,anil-kumar-goel
33,Samtex Fashions Ltd.,6.04,5.70,-,5.70,5.70,0.85,anil-kumar-goel
34,Nahar Capital And Financial Services Ltd.,2.35,2.38,2.38,2.39,2.44,11.61,anil-kumar-goel
35,Dhampur Bio Organics Ltd.,-,-,12.74,12.74,12.74,,anil-kumar-goel
1,Bannari Amman Spinning Mills Ltd.,4.72,4.72,4.72,4.72,4.72,13.04,anuj-a-sheth
2,Bannari Amman Sugars Ltd.,-,4.52,4.52,4.52,4.52,163.36,anuj-a-sheth
3,Finolex Industries Ltd.,4.47,4.47,-,4.47,4.47,464.57,anuj-a-sheth
4,Jamna Auto Industries Ltd.,1.76,1.38,-,-,-,0,anuj-a-sheth
5,Rane Engine Valve Ltd.,2.02,2.02,2.02,2.02,1.92,2.98,anuj-a-sheth
6,Themis Medicare Ltd.,4.89,4.89,4.89,4.89,4.89,70.69,anuj-a-sheth
7,Arihant Capital Markets Ltd.,3.89,3.89,3.89,3.89,3.89,16.26,anuj-a-sheth
8,Asahi India Glass Ltd.,-,-,3.91,3.91,3.91,454.52,anuj-a-sheth
9,The Hi-Tech Gears Ltd.,-,-,7.36,-,-,0,anuj-a-sheth
1,Apcotex Industries Ltd.,0.48,0.48,0.48,0.48,0.48,12.50,aquamarine-master-and-trading
2,Care Ratings Ltd.,1.18,1.18,1.18,1.18,1.18,22.38,aquamarine-master-and-trading
3,Indian Energy Exchange Ltd.,1.47,1.47,1.47,1.47,1.48,206.60,aquamarine-master-and-trading
1,Amerise Biosciences Ltd.,2.27,2.27,,,,0.11,ashok-hiralal-shah
2,Amraworld Agrico Ltd.,2.38,2.38,,,,0.23,ashok-hiralal-shah
3,Regis Industries Ltd.,4.32,4.32,,,,,ashok-hiralal-shah
1,Arihant Capital Markets Ltd.,32.21,32.21,32.21,32.21,32.21,134.64,ashok-kumar-jain
2,Artemis Medicare Services Ltd.,1.15,1.21,1.05,1.06,1.16,12.48,ashok-kumar-jain
3,BJ Duplex Boards Ltd.,0.19,0.19,0.19,0.19,0.19,,ashok-kumar-jain
4,Fluidomat Ltd.,22.46,22.46,22.46,22.46,22.46,26.13,ashok-kumar-jain
5,GeeCee Ventures Ltd.,2.45,2.60,2.83,3.08,3.09,8.85,ashok-kumar-jain
6,Indian Card Clothing Company Ltd.,2.47,2.59,1.85,2.15,2.47,3.56,ashok-kumar-jain
7,Inter State Oil Carrier Ltd.,0.00,0.00,0.00,0.00,0.00,0,ashok-kumar-jain
8,IVP Ltd.,2.26,2.27,2.14,2.10,2.10,3.68,ashok-kumar-jain
9,Mahaveer Infoway Ltd.,18.29,18.29,18.29,18.29,18.29,0.86,ashok-kumar-jain
10,Mayur Floorings Ltd.,0.22,0.22,0.22,0.22,0.22,0.01,ashok-kumar-jain
11,Octal Credit Capital Ltd.,1.60,1.60,1.60,1.60,1.60,0.16,ashok-kumar-jain
12,Pee Cee Cosma Sope Ltd.,2.95,2.95,2.95,2.95,2.95,0.90,ashok-kumar-jain
13,Pokarna Ltd.,0.19,-,0.19,0.19,0.19,2.06,ashok-kumar-jain
14,Prima Plastics Ltd.,1.69,1.78,1.78,1.86,1.01,1.42,ashok-kumar-jain
15,RCC Cements Ltd.,2.16,2.16,2.16,2.16,2.16,0.14,ashok-kumar-jain
16,Richirich Inventures Ltd.,7.28,7.28,7.28,7.28,7.28,0.12,ashok-kumar-jain
17,RSC International Ltd.,0.04,0.04,-,0.04,0.04,0.00,ashok-kumar-jain
18,SW Investments Ltd.,3.33,3.33,3.33,3.33,3.33,0.13,ashok-kumar-jain
19,Vallabh Steels Ltd.,1.11,-,-,-,-,0,ashok-kumar-jain
20,Worldwide Aluminium Ltd.,0.02,0.02,0.02,0.02,0.02,0.00,ashok-kumar-jain
21,Credent Global Finance Ltd.,-,-,-,-,-,0,ashok-kumar-jain
22,Ecoplast Ltd.,2.22,2.22,2.22,2.22,4.26,1.02,ashok-kumar-jain
23,Shilp Gravures Ltd.,2.06,2.42,2.42,2.42,2.42,1.44,ashok-kumar-jain
24,Freshtrop Fruits Ltd.,1.13,1.56,2.34,1.68,-,0,ashok-kumar-jain
25,Rane Holdings Ltd.,-,1.09,1.13,1.04,1.05,13.91,ashok-kumar-jain
26,Sharma East India Hospitals & Medical Research Ltd.,-,1.07,-,-,Filing Due,0,ashok-kumar-jain
27,Shiva Texyarn Ltd.,-,-,1.10,1.21,1.26,2.03,ashok-kumar-jain
28,Ganges Securities Ltd.,-,-,-,1.27,1.44,1.54,ashok-kumar-jain
1,Alfa Transformers Ltd.,2.19,2.19,2.19,2.19,-,0,atim-kabra
2,Astra Microwave Products Ltd.,3.87,3.87,3.87,3.87,3.87,103.24,atim-kabra
3,Premier Explosives Ltd.,2.72,2.64,2.55,1.85,1.89,8.51,atim-kabra
4,United Interactive Ltd.,2.06,2.06,-,2.06,2.06,0.20,atim-kabra
1,Katare Spinning Mills Ltd.,3.51,2.94,2.85,2.81,2.81,2.17,balram-bharwani
1,Integra Essentia Ltd.,1.68,-,-,-,-,0,bharat-jayantilal-patel
2,Nagpur Power & Industries Ltd.,2.44,2.44,2.44,2.44,2.44,2.27,bharat-jayantilal-patel
3,Rubfila International Ltd.,12.34,12.34,12.34,12.34,12.34,46.66,bharat-jayantilal-patel
1,R Systems International Ltd.,35.53,35.53,35.53,35.53,35.53,"1,062.60",bhavook-tripathi
1,Bhaskar Agrochemicals Ltd.,1.41,1.41,1.52,1.53,1.53,0.57,deepinder-singh-poonian
2,Hindustan Adhesives Ltd.,2.62,2.62,2.62,2.62,-,0,deepinder-singh-poonian
3,Jagan Lamps Ltd.,1.98,1.98,1.98,1.94,2.33,1.02,deepinder-singh-poonian
4,Kothari Fermentation & Biochem Ltd.,-,-,1.51,1.51,-,0,deepinder-singh-poonian
5,National Plastic Technologies Ltd.,3.27,3.27,3.27,3.27,3.27,2.01,deepinder-singh-poonian
